sigma,A2_macrof1,A3_macrof1,A4_macrof1,A5_hw_eq_macrof1
10,0.11031673,0.14399954,0.13698894,0.13704007
30,0.16107787,0.17090614,0.17027814,0.17041420
50,0.15971872,0.19154787,0.18756292,0.18826893
